PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.205703, 0.000000, 70.000000, 13.444444 

Temp (C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 2116.216195, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
Fuselage,21.961325, 7.502939, 4.219572,1.266230, Hoerner Streamlined Body,35954658.450563, 0.000000,0.002466, 1.000000,0.068584, 0.005101, 31.847417 
Wing,23.277488, 1.234402, 0.119872,1.252132, Hoerner,5915349.344354, 0.000000,0.003272, 1.000000,0.095357, 0.007093, 44.279187 
[B] Load,0.000000, 1.500000, 1.253314,5.624702, Hoerner Streamlined Body,7188114.501289, 0.000000,0.003168, 1.000000,0.000000, 0.000000, 0.000000 
[B] Engine,0.000000, 0.500000, 0.886227,12.854813, Hoerner Streamlined Body,2396038.167096, 0.000000,0.003816, 1.000000,0.000000, 0.000000, 0.000000 
Tail,7.742810, 0.813200, 0.089941,1.183807, Hoerner,3896916.474965, 0.000000,0.003509, 1.000000,0.032162, 0.002392, 14.934561 
Vertical,5.043459, 1.348636, 0.089941,1.183807, Hoerner,6462768.401613, 0.000000,0.003224, 1.000000,0.019250, 0.001432, 8.938834 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.215353, 0.016018, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.215353, 0.016018, 100.000000 
